Nombre,Tipo,FOTOPERIODO,CONSUMO HÍDRICO (mm/semana),Min Temp,Temp Óptima,Max Temp,Cm entre plantas,Cm entre hileras,Días siembra,Días transplante,PROFUNDIDAD DE RAÍZ (cm),nitrógeno,fósforo,potasio,,,,
ACELGA,hoja,6-8,25-35 ,5,15-22,30,25-35,40,50-70,,30-60,1.5,1,1.2,,,,
TOMATERA,fruto,8-10 ,30-45,10,18-25,35,40-60,80-100,90-120,60-80,60-120,1,1,2,,,,
LACTULA SERRIOLA (lechuga silvestre) ,hoja,6-8 ,15-25,5,15-22,32,25-30,30-40,45-60,,50-100,1.5,1,1,,,,
APIO SILVESTRE,hoja,6-8 ,30-40,8,15-21,30,25-30,40-50,80-120,,30-60,1.5,1,1.3,,,,
CARDOSANTO,hoja,6-8 ,10-20,10,20-30,38,40-60,60-80,70-120,,50-100,0.8,1,1.2,,,,
CILANTRO,hoja,4-6,20-30,5,15-22,30,15-20,20-30,90-120,30-45,20-60,1.5,1,1,,,,
OENOTHERA ROSEA,hoja,6-8,10-20,8,18-25,32,25-35,30-40,60-90,,40-80,1,1,1,,,,
ARTEMISIA,hoja,6-8,10-20,5,18-25,35,40-60,60-80,90-120,,60-100,1,1,1,,,,
BOTÓN DE ORO,hoja,6-8,15-30,10,20-30,38,80-150,100-200,90-120,,100-200,1,1,1.3,,,,
ZANAHORIA,raíz,6-8,20-30,7,16-21,30,5-10,20-30,70-100,,20-30,1,1,1.5,,,,
CALÉNDULA,flor,6-8,15-25,5,15-22,30,25-30,30-40,50-60,,30-50,1,1,1.2,,,,
CICLAMEN,flor,4-6,15-25,5,12-18,25,20-25,,90-120,,15-25,1,1,1.3,,,,
LECHUGA,hoja,4-6,20-30,5,12-20,28,20-30,30-40,30-50,50-70,20-40,1.5,1,1,,,,
POTENTILLA NORVEGICA,hoja,6-8,15-25,5,15-22,30,25-40,30-50,60-90,,30-60,1,1,1,,,,
RABIZON,raíz,4-6,15-25,5,10-20,28,5-8,20-25,25-40,,15-25,1,1,1.4,,,,
ALBAHACA,hoja,6-8,20-30,10,20-30,35,20-30,30-40,30-45,,30-50,1.4,1,1,,,,
SANGUIÑUELO FLORIDO,flor,6-8,15-30,10,20-30,38,100-200,200-400,90-120,,60-120,1,1,1.3,,,,
DELOSPERMA COOPERI,flor,6-8,5-15,-5,18-28,38,30-50,,60-90,,15-30,0.8,1,1.2,,,,
COL,hoja,6-8,25-35,5,15-20,28,40-50,50-70,,80-120,30-60,1.5,1,1.3,,,,
CHÍA,semilla,10-12,15-25,12,18-26,35,30-50,50-70,90-150,,60-100,1,1,1.5,,,,
PLANTA PULPO (ALOE ARBORESCENS),hoja,6-8,5-15,5,18-28,38,80-10,,8-12 meses,,30-60,0.8,1,1.2,,,,
OPUNTIA MONACANTHA,tallo,6-8,5-15,0-5,20-30,40,100-200,,6-12 meses,,20-50,0.7,0.8,1.2,,,,
CRASSULA CAPITELLA,hoja,4-6,5-10,5,18-28,35,20-30,,60-90,,10-20,0.7,0.8,1.2,,,,
BERBERIS JULINAE,fruto,6-8,10-20,-10,15-25,35,80-120,,1-2 años,,40-80,1,1,1,,,,
VID,fruto,7-9,15-30,-5,18-30,38,150-300,200-300,150-200,,1-3 mts,1,1,1.6,,,,
CORREHUELA,tallo,6-8,10-20,-10,15-30,40,,,60-90,,1-3 mts,,,,,,,
